Date,Country,Confirmed
01 May 2020,Brunei,138
02 May 2020,Brunei,138
03 May 2020,Brunei,138
04 May 2020,Brunei,138
05 May 2020,Brunei,138
06 May 2020,Brunei,139
07 May 2020,Brunei,141
08 May 2020,Brunei,141
09 May 2020,Brunei,141
10 May 2020,Brunei,141
11 May 2020,Brunei,141
12 May 2020,Brunei,141
13 May 2020,Brunei,141
14 May 2020,Brunei,141
15 May 2020,Brunei,141
16 May 2020,Brunei,141
17 May 2020,Brunei,141
18 May 2020,Brunei,141
19 May 2020,Brunei,141
20 May 2020,Brunei,141
21 May 2020,Brunei,141
22 May 2020,Brunei,141
23 May 2020,Brunei,141
24 May 2020,Brunei,141
25 May 2020,Brunei,141
26 May 2020,Brunei,141
20 March 2020,Bulgaria,127
24 March 2020,Bulgaria,218
28 March 2020,Bulgaria,331
31 March 2020,Bulgaria,399
01 April 2020,Bulgaria,422
04 April 2020,Bulgaria,503
06 April 2020,Bulgaria,549
11 April 2020,Bulgaria,661
15 April 2020,Bulgaria,747
19 April 2020,Bulgaria,894
23 April 2020,Bulgaria,1097
27 April 2020,Bulgaria,1363
30 April 2020,Bulgaria,1506
01 May 2020,Bulgaria,1555
02 May 2020,Bulgaria,1594
03 May 2020,Bulgaria,1618
04 May 2020,Bulgaria,1652
05 May 2020,Bulgaria,1704
06 May 2020,Bulgaria,1778
07 May 2020,Bulgaria,1829
08 May 2020,Bulgaria,1872
09 May 2020,Bulgaria,1921
10 May 2020,Bulgaria,1965
11 May 2020,Bulgaria,1990
12 May 2020,Bulgaria,2023
13 May 2020,Bulgaria,2069
14 May 2020,Bulgaria,2100
15 May 2020,Bulgaria,2138
16 May 2020,Bulgaria,2175
17 May 2020,Bulgaria,2211
18 May 2020,Bulgaria,2235
19 May 2020,Bulgaria,2259
20 May 2020,Bulgaria,2292
21 May 2020,Bulgaria,2331
22 May 2020,Bulgaria,2372
23 May 2020,Bulgaria,2408
24 May 2020,Bulgaria,2427
25 May 2020,Bulgaria,2433
26 May 2020,Bulgaria,2443
24 March 2020,Burkina Faso,114
28 March 2020,Burkina Faso,207
31 March 2020,Burkina Faso,261
01 April 2020,Burkina Faso,282
04 April 2020,Burkina Faso,318
06 April 2020,Burkina Faso,364
11 April 2020,Burkina Faso,484
15 April 2020,Burkina Faso,542
19 April 2020,Burkina Faso,576
23 April 2020,Burkina Faso,616
27 April 2020,Burkina Faso,635
30 April 2020,Burkina Faso,645
01 May 2020,Burkina Faso,649
02 May 2020,Burkina Faso,652
03 May 2020,Burkina Faso,662
04 May 2020,Burkina Faso,672
05 May 2020,Burkina Faso,688
06 May 2020,Burkina Faso,729
07 May 2020,Burkina Faso,736
08 May 2020,Burkina Faso,744
09 May 2020,Burkina Faso,748
10 May 2020,Burkina Faso,751
11 May 2020,Burkina Faso,760
12 May 2020,Burkina Faso,766
13 May 2020,Burkina Faso,773
14 May 2020,Burkina Faso,773
15 May 2020,Burkina Faso,780
16 May 2020,Burkina Faso,782
17 May 2020,Burkina Faso,796
18 May 2020,Burkina Faso,796
19 May 2020,Burkina Faso,796
20 May 2020,Burkina Faso,809
21 May 2020,Burkina Faso,812
22 May 2020,Burkina Faso,814
23 May 2020,Burkina Faso,814
24 May 2020,Burkina Faso,814
25 May 2020,Burkina Faso,832
26 May 2020,Burkina Faso,832
19 April 2020,Burma,111
23 April 2020,Burma,139
27 April 2020,Burma,146
30 April 2020,Burma,151
01 May 2020,Burma,151
02 May 2020,Burma,151
03 May 2020,Burma,155
04 May 2020,Burma,161
05 May 2020,Burma,161
06 May 2020,Burma,161
07 May 2020,Burma,176
08 May 2020,Burma,177
09 May 2020,Burma,178
10 May 2020,Burma,180
11 May 2020,Burma,180
12 May 2020,Burma,180
13 May 2020,Burma,181
14 May 2020,Burma,181
15 May 2020,Burma,182
16 May 2020,Burma,182
17 May 2020,Burma,184
18 May 2020,Burma,191
19 May 2020,Burma,193
20 May 2020,Burma,199
21 May 2020,Burma,199
22 May 2020,Burma,199
23 May 2020,Burma,201
24 May 2020,Burma,201
25 May 2020,Burma,203
26 May 2020,Burma,206
27 April 2020,Cabo Verde,109
30 April 2020,Cabo Verde,121
01 May 2020,Cabo Verde,122
02 May 2020,Cabo Verde,152
03 May 2020,Cabo Verde,165
04 May 2020,Cabo Verde,175
05 May 2020,Cabo Verde,186
06 May 2020,Cabo Verde,191
07 May 2020,Cabo Verde,218
08 May 2020,Cabo Verde,230
09 May 2020,Cabo Verde,236
10 May 2020,Cabo Verde,246
11 May 2020,Cabo Verde,260
12 May 2020,Cabo Verde,267
13 May 2020,Cabo Verde,289
14 May 2020,Cabo Verde,315
15 May 2020,Cabo Verde,326
16 May 2020,Cabo Verde,328
17 May 2020,Cabo Verde,328
18 May 2020,Cabo Verde,328
19 May 2020,Cabo Verde,335
20 May 2020,Cabo Verde,349
21 May 2020,Cabo Verde,356
22 May 2020,Cabo Verde,362
23 May 2020,Cabo Verde,371
24 May 2020,Cabo Verde,380
25 May 2020,Cabo Verde,390
26 May 2020,Cabo Verde,390
31 March 2020,Cambodia,109
01 April 2020,Cambodia,109
04 April 2020,Cambodia,114
06 April 2020,Cambodia,114
11 April 2020,Cambodia,120
15 April 2020,Cambodia,122
19 April 2020,Cambodia,122
23 April 2020,Cambodia,122
27 April 2020,Cambodia,122
30 April 2020,Cambodia,122
01 May 2020,Cambodia,122
